File	pol
1152	-57.43947615
1153	-57.41484383
1154	-57.38900983
1155	-57.3649138
1156	-57.34025485
1178	-57.14243645
1179	-57.12067539
1180	-57.10143212
1185	-57.031745
1187	-56.976305
1188	-56.95218175
1192	-56.92479753
1193	-56.90036008
1194	-56.87539701
1195	-56.85042553
1196	-56.82925325
1197	-56.80811465
1198	-56.78377243
1199	-56.76005299
1200	-56.73562183
1201	-56.71205776
1202	-56.68480187
1203	-56.66033875
1204	-56.63429755
1205	-56.61310932
1206	-56.59057298
1207	-56.56803275
1208	-56.54542445
1209	-56.52310762
1210	-56.50108833
1211	-56.47967413
1212	-56.45712037
1213	-56.43428722
1214	-56.41124549
1215	-56.38870625
1216	-56.36373083
1217	-56.33696224
1218	-56.31302015
1219	-56.28999597
1220	-56.2667959
1223	-56.23934525
1224	-56.2138678
1228	-56.11043574
1231	-56.01875841
1232	-55.97314437
1234	-55.94823228
1235	-55.9241188
1236	-55.90018711
1238	-55.86973013
1239	-55.8460754
1240	-55.82101701
1241	-55.78957678
1242	-55.76599398
1243	-55.74275666
1245	-55.7219969
1246	-55.70040988
1247	-55.67596693
1248	-55.65228679
1249	-55.62881889
1250	-55.60587237
1251	-55.58204531
1252	-55.55890988
1253	-55.5420913
1254	-55.52258098
1255	-55.49459656
1256	-55.46830374
1257	-55.43900757
1259	-55.40817892
1260	-55.37992075
1261	-55.35169586
1263	-55.31866669
1264	-55.29033488
1265	-55.26204268
1266	-55.23421031
1267	-55.20479954
1268	-55.17777928
1269	-55.15418576
1270	-55.12844864
1280	-54.9760385
1281	-54.9525562
1282	-54.92683831
1283	-54.90342068
1284	-54.88022494
1285	-54.85802953
1286	-54.72805355
1287	-54.70339121
1288	-54.67895111
1289	-54.65403159
1290	-54.62881324
1291	-54.60817066
1293	-54.57923579
1294	-54.55168537
1295	-54.52434699
1296	-54.49721417
1297	-54.46969278
1298	-54.43449381
1299	-54.41224463
1300	-54.38145583
1301	-54.35235099
1302	-54.32235486
1303	-54.29231364
1304	-54.26411308
1305	-54.229214
1306	-54.19544519
1307	-54.16669826
1308	-54.13712429
1309	-54.10685369
1310	-54.07989792
1311	-54.05116932
1321	-53.88054356
1322	-53.85802461
1323	-53.8351238
1324	-53.8123855
1325	-53.79094573
1327	-53.73755149
1328	-53.71034663
1330	-53.66135897
1331	-53.63650728
1332	-53.61239163
1333	-53.58943703
1334	-53.56649225
1335	-53.54405592
1336	-53.5124457
1337	-53.48737749
1338	-53.45845368
1342	-53.28278828
1343	-53.26058569
1344	-53.2360768
1345	-53.20873909
1346	-53.18322126
1347	-53.15865741
1348	-53.13870915
	
	
	
	
	
	
	
	
	
